link,unit/floor number,car spaces,bedrooms,baths,floor area,floor,condominium name,available from,cctv,basement parking,elevators,fire exits,function room,gym,lobby,lounge,reception area,fire alarm,fire sprinkler system,24-hour security,garden,secure parking,swimming pool,classification,fully furnished,tower name/number,balcony,bar,maid's room,playground,laundry area,courtyard,badminton court,basketball court,jogging path,tennis court,area address,indoor pool,alarm system,broadband internet available,club house,fitness center,game room,multi-purpose hall,daycare center,building name,block and lot/unit/floor number,theater,landscaped garden,shower rooms,build (year),total floors,gymnasium,utility room,air conditioning,amphitheater,billiards table,built-in wardrobes,clinic,ensuite,entertainment room,floorboards,health club,indoor spa,indoor tree house,intercom,jacuzzi,maids room,meeting rooms,open fireplace,powder room,sky lounge,smoke detector,social hall,split-system heating,sauna,function area,open space,gazebos,spa,shops,carport,clubhouse,deck,fully fenced,gazebo,multi-purpose lawn,open car spaces,parking lot,parks,pool bar,sqm range,drying area,pond,study area,garage,price range,wi-fi,business center,subdivision name,bathrooms,land size,central air conditioning,study room,sports facilities,pay tv access,library,gas heating,helipad,block and lot/unit number,rooms (total),attic,driver's room,floors total,column-free design,driver's quarter,meeting room,pantry,hydronic heating,golf area,block and lot,remote garage,storage room,lanai,volleyball court,outdoor spa,price conditions,deposit / bond,terrace,fireplace,basement,ducted cooling,latitude,longitude,price,Perceived Safety Score,geometry,night_life,night_life_nearest_distance,financial,financial_nearest_distance,administrative_offices,administrative_offices_nearest_distance,food,food_nearest_distance,religion,religion_nearest_distance,education,education_nearest_distance,transportation,transportation_nearest_distance,healthcare_industries,healthcare_industries_nearest_distance,service_providers,service_providers_nearest_distance,general_establishments,general_establishments_nearest_distance,recreational,recreational_nearest_distance,personal_care,personal_care_nearest_distance,vehicle_services,vehicle_services_nearest_distance,specialized_stores,specialized_stores_nearest_distance,living_facilities,living_facilities_nearest_distance,vehicle_services_avg_distance,night_life_avg_distance,personal_care_avg_distance,administrative_offices_avg_distance,education_avg_distance,food_avg_distance,general_establishments_avg_distance,healthcare_industries_avg_distance,service_providers_avg_distance,recreational_avg_distance,living_facilities_avg_distance,religion_avg_distance,financial_avg_distance,specialized_stores_avg_distance,transportation_avg_distance,min_distance_to_fault_meters,flood_threat_level_5_yr,flood_threat_level_25_yr
https://www.lamudi.com.ph/1br-regular-condo-unit-for-sale-in-ortigas-cbd-pas-170830612415.html,30J,1.0,1.0,1.0,70.0,30th,Residences at The Galleon,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583771,121.059675,25355000,3.45,POINT (13476301.376599189 1641277.4437794762),28,506.2759827,112,158.8675022,11,443.8272264,161,250.4047221,4,465.6334807,5,539.1085473,59,61.7588082,11,252.8097345,7,501.9033203,6,666.6628392,8,667.0836479,1,717.9344908,3,712.0505361,0,,0,,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
https://www.lamudi.com.ph/1br-regular-condo-unit-for-sale-in-ortigas-cbd-pas-170830632289.html,25G,1.0,1.0,1.0,74.0,25th,Residences at The Galleon,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583771,121.059675,24987000,3.45,POINT (13476301.376599189 1641277.4437794762),28,506.2759827,112,158.8675022,11,443.8272264,161,250.4047221,4,465.6334807,5,539.1085473,59,61.7588082,11,252.8097345,7,501.9033203,6,666.6628392,8,667.0836479,1,717.9344908,3,712.0505361,0,,0,,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
https://www.lamudi.com.ph/1br-regular-condo-unit-for-sale-in-ortigas-cbd-pas-170830601574.html,32I,1.0,1.0,1.0,70.0,32nd,Residences at The Galleon,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583771,121.059675,25013000,3.45,POINT (13476301.376599189 1641277.4437794762),28,506.2759827,112,158.8675022,11,443.8272264,161,250.4047221,4,465.6334807,5,539.1085473,59,61.7588082,11,252.8097345,7,501.9033203,6,666.6628392,8,667.0836479,1,717.9344908,3,712.0505361,0,,0,,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
https://www.lamudi.com.ph/1br-regular-condo-unit-for-sale-in-ortigas-cbd-pas-170830599695.html,36C,1.0,1.0,1.0,70.0,36th,Residences at The Galleon,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583771,121.059675,25560000,3.45,POINT (13476301.376599189 1641277.4437794762),28,506.2759827,112,158.8675022,11,443.8272264,161,250.4047221,4,465.6334807,5,539.1085473,59,61.7588082,11,252.8097345,7,501.9033203,6,666.6628392,8,667.0836479,1,717.9344908,3,712.0505361,0,,0,,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
https://www.lamudi.com.ph/1br-regular-condo-unit-for-sale-in-ortigas-cbd-pas-170830633250.html,17I,1.0,1.0,1.0,70.0,17th,Residences at The Galleon,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583771,121.059675,24871000,3.45,POINT (13476301.376599189 1641277.4437794762),28,506.2759827,112,158.8675022,11,443.8272264,161,250.4047221,4,465.6334807,5,539.1085473,59,61.7588082,11,252.8097345,7,501.9033203,6,666.6628392,8,667.0836479,1,717.9344908,3,712.0505361,0,,0,,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
https://www.lamudi.com.ph/1br-regular-condo-unit-for-sale-in-ortigas-cbd-pas-170830599813.html,35G,1.0,1.0,1.0,74.0,35th,Residences at The Galleon,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583771,121.059675,25096000,3.45,POINT (13476301.376599189 1641277.4437794762),28,506.2759827,112,158.8675022,11,443.8272264,161,250.4047221,4,465.6334807,5,539.1085473,59,61.7588082,11,252.8097345,7,501.9033203,6,666.6628392,8,667.0836479,1,717.9344908,3,712.0505361,0,,0,,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
https://www.lamudi.com.ph/1br-regular-condo-unit-for-sale-in-ortigas-cbd-pas-170830614015.html,42B,1.0,1.0,1.0,69.0,42nd,Residences at The Galleon,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583771,121.059675,26795000,3.45,POINT (13476301.376599189 1641277.4437794762),28,506.2759827,112,158.8675022,11,443.8272264,161,250.4047221,4,465.6334807,5,539.1085473,59,61.7588082,11,252.8097345,7,501.9033203,6,666.6628392,8,667.0836479,1,717.9344908,3,712.0505361,0,,0,,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
https://www.lamudi.com.ph/1br-regular-condo-unit-for-sale-in-ortigas-cbd-pas-170830601881.html,20I,1.0,1.0,1.0,70.0,20th,Residences at The Galleon,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583771,121.059675,24895000,3.45,POINT (13476301.376599189 1641277.4437794762),28,506.2759827,112,158.8675022,11,443.8272264,161,250.4047221,4,465.6334807,5,539.1085473,59,61.7588082,11,252.8097345,7,501.9033203,6,666.6628392,8,667.0836479,1,717.9344908,3,712.0505361,0,,0,,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
https://www.lamudi.com.ph/1br-regular-condo-unit-for-sale-in-ortigas-cbd-pas-170830603360.html,20K,1.0,1.0,1.0,69.0,20th,Residences at The Galleon,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583771,121.059675,26210000,3.45,POINT (13476301.376599189 1641277.4437794762),28,506.2759827,112,158.8675022,11,443.8272264,161,250.4047221,4,465.6334807,5,539.1085473,59,61.7588082,11,252.8097345,7,501.9033203,6,666.6628392,8,667.0836479,1,717.9344908,3,712.0505361,0,,0,,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
https://www.lamudi.com.ph/1br-regular-condo-unit-for-sale-in-ortigas-cbd-pas-170830613374.html,32J,1.0,1.0,1.0,70.0,32nd,Residences at The Galleon,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583771,121.059675,25371000,3.45,POINT (13476301.376599189 1641277.4437794762),28,506.2759827,112,158.8675022,11,443.8272264,161,250.4047221,4,465.6334807,5,539.1085473,59,61.7588082,11,252.8097345,7,501.9033203,6,666.6628392,8,667.0836479,1,717.9344908,3,712.0505361,0,,0,,811.7967577,750.3220409,717.9344908,693.8821885,666.2953646,638.5666002,755.5524071,664.0273229,714.9784136,874.2813972,,787.1616581,528.0085776,,668.9141472,1222.7154337555496,,
