X,Y
121.063962,14.584436
121.115059,14.58487
121.11551,14.581283
121.115927,14.579405
121.116016,14.576508
121.115049,14.573277
121.116019,14.563695
121.115737,14.56025
121.115505,14.557032
121.11521,14.552637
121.115782,14.543822
121.069082,14.547773
121.116453,14.586144
121.117203,14.577975
121.117347,14.575158
121.117302,14.566384
121.117385,14.562323
121.117318,14.558336
121.063991,14.582526
121.116754,14.554897
121.116747,14.550572
121.117214,14.545923
121.069274,14.540464
121.067964,14.539149
121.069259,14.536517
121.0691,14.533211
121.070537,14.612849
121.070671,14.60912
121.070369,14.606572
121.070077,14.604662
121.063939,14.58041
121.069872,14.598284
121.070246,14.596424
121.070665,14.59449
121.064073,14.578568
121.069684,14.584331
121.070627,14.5826
121.070189,14.570302
121.07036,14.568098
121.070699,14.566149
121.0706,14.561511
121.06465,14.576266
121.070434,14.555817
121.070145,14.553827
121.069741,14.550612
121.07058,14.546528
121.064842,14.574378
121.07049,14.544327
121.070498,14.542515
121.070215,14.534853
121.071774,14.614524
121.072076,14.600934
121.071729,14.598259
121.072031,14.593209
121.071928,14.589155
121.064589,14.570972
121.07124,14.587306
121.07173,14.584166
121.071176,14.579676
121.064275,14.569125
121.072061,14.573366
121.071485,14.571644
121.071966,14.560157
121.072086,14.556736
121.071972,14.553243
121.072009,14.550139
121.071935,14.547969
121.071451,14.540232
121.071115,14.533099
121.073383,14.615446
121.072562,14.595549
121.072484,14.591194
121.072706,14.578272
121.072692,14.575469
121.072801,14.566194
121.073121,14.558711
121.073388,14.546695
121.073444,14.540536
121.063845,14.557319
121.073411,14.533595
121.074825,14.614278
121.07412,14.601347
121.073784,14.589357
121.074572,14.583986
121.06384,14.553704
121.074668,14.579623
121.074065,14.576946
121.074687,14.566108
121.074111,14.561617
121.074735,14.559713
121.074806,14.557522
121.074241,14.551857
121.063946,14.549056
121.07461,14.536352
121.075732,14.611686
121.076205,14.609863
121.076111,14.601223
121.064181,14.546992
121.075718,14.589673
121.076203,14.58311
121.075871,14.581142
121.075592,14.578015
121.075504,14.575655
121.075986,14.570826
121.076193,14.565037
121.076055,14.562555
121.064303,14.542518
121.064395,14.540695
121.065048,14.606195
121.076241,14.554492
121.07679,14.550901
121.076379,14.5467
121.077502,14.544434
121.076597,14.542549
121.076204,14.540777
121.076386,14.538124
121.077812,14.612185
121.07859,14.61021
121.078566,14.607089
121.078944,14.605009
121.078304,14.601347
121.077732,14.589749
121.078933,14.588292
121.078937,14.586261
121.078929,14.583492
121.077613,14.579809
121.078918,14.574348
121.078003,14.572288
121.077947,14.568522
121.078337,14.566445
121.078574,14.564473
121.078035,14.562413
121.078879,14.560518
121.078266,14.558053
121.078914,14.550738
121.078884,14.548625
121.078292,14.546437
121.078529,14.537677
121.078697,14.533362
121.079935,14.611636
121.079986,14.608859
121.07913,14.603088
121.079274,14.599571
121.079753,14.597631
121.079478,14.595586
121.080027,14.593468
121.07982,14.591627
121.080275,14.576375
121.080209,14.571977
121.080188,14.567291
121.080265,14.565226
121.080179,14.557261
121.079254,14.543725
121.080301,14.542143
121.080269,14.538646
121.079849,14.536188
121.081656,14.615457
121.081639,14.607867
121.08145,14.605398
121.081466,14.589817
121.080537,14.582535
121.081698,14.57834
121.081692,14.573095
121.081664,14.569372
121.081678,14.562504
121.080782,14.560351
121.081658,14.558688
121.081676,14.552205
121.081568,14.550355
121.081685,14.548533
121.0809,14.540391
121.083023,14.613821
121.082345,14.581505
121.082806,14.571639
121.08254,14.566627
121.082901,14.560582
121.082973,14.556219
121.082075,14.554435
121.082809,14.546608
121.08239,14.542931
121.084402,14.612498
121.0839,14.605212
121.084415,14.590606
121.084428,14.586432
121.08391,14.584174
121.083245,14.57724
121.084118,14.574439
121.083817,14.569303
121.08435,14.565286
121.083851,14.562361
121.084366,14.55934
121.083627,14.549384
121.084383,14.545045
121.084079,14.541791
121.084816,14.615163
121.085692,14.610997
121.084999,14.588879
121.066461,14.567658
121.085369,14.543448
121.065749,14.565965
121.086781,14.614782
