X,Y
120.997147,14.524854
120.997874,14.517192
120.997287,14.508507
120.997903,14.501235
120.997597,14.491204
120.997304,14.480103
120.997785,14.470773
120.996938,14.452505
120.996761,14.44276
120.998944,14.522639
120.998154,14.497414
120.999295,14.487906
120.99891,14.477626
120.999281,14.473465
120.999523,14.532113
121.000187,14.527818
121.000187,14.507387
121.000995,14.520438
