"X, Y"
"120.997031, 14.522933"
"120.997147, 14.524854"
"120.99075, 14.523787"
"120.993619, 14.524439"
"120.991716, 14.525465"
"120.995631, 14.526057"
"120.993752, 14.526429"
"120.99625, 14.527795"
"120.993551, 14.528262"
"120.990701, 14.529137"
"120.99516, 14.529272"
"120.993118, 14.530467"
"120.987698, 14.525109"
"120.989648, 14.525243"
"120.985002, 14.525988"
"120.990242, 14.52717"
"120.984993, 14.527812"
"120.98674, 14.528957"
"120.989571, 14.53067"
"120.996858, 14.530674"
"120.995178, 14.533104"
"121.016529, 14.502755"
"121.01261, 14.50291"
"121.008233, 14.507327"
"121.004791, 14.507292"
"120.998968, 14.507695"
"121.002751, 14.507958"
"120.997287, 14.508507"
"120.997552, 14.517122"
